transaction_type,district_name,category_group,listings,median_price_m,median_area,median_price_per_m2
Cho thuê,Quận Gò Vấp,Nhà phố / nhà ở,130,18,72,250000
Bán,Quận 1,Căn hộ / chung cư,128,14850,94,193653846.15384614
Bán,Huyện Củ Chi,Nhà phố / nhà ở,127,950,126.3,8410596.026490066
Cho thuê,Quận 12,Căn hộ / chung cư,126,4.75,39,119782.60869565218
Bán,Huyện Nhà Bè,Đất,125,5180,118,41532258.06451613
Bán,Quận 7,Đất,125,8900,88,94736842.10526316
Bán,Quận 11,Căn hộ / chung cư,121,3600,65,59285714.28571428
Cho thuê,Quận 7,Khác,121,25,90,234042.55319148937
Cho thuê,Quận Gò Vấp,Căn hộ / chung cư,116,5,40,134285.7142857143
Cho thuê,Quận 5,Phòng / nhà trọ,115,5.5,100,183333.33333333334
Bán,Quận Phú Nhuận,Khác,106,7090,55,132719435.73667711
Bán,Quận Phú Nhuận,Căn hộ / chung cư,104,4750,66,75661846.49610677
Bán,Quận 6,Căn hộ / chung cư,102,3575,71.5,50409836.06557377
Bán,Quận 10,Khác,101,7300,86,81395348.8372093
Bán,Quận Tân Bình,Khác,95,16000,85,190476190.47619048
Cho thuê,Quận 11,Nhà phố / nhà ở,91,22,65,343137.2549019608
Bán,Quận Gò Vấp,Khác,88,6485,65.5,112083333.33333334
Cho thuê,Quận Bình Thạnh,Biệt thự,87,42,174,246666.66666666666
Bán,Thành phố Thủ Đức,Khác,86,6695,87.5,71240601.5037594
Bán,Quận 8,Đất,82,6350,100,65904761.9047619
Bán,Quận 7,Khác,77,13100,120,81967213.1147541
Cho thuê,Quận 12,Khác,76,13,135,98717.94871794872
Bán,Quận 3,Khác,74,39500,131,352870813.3971292
Bán,Quận Tân Bình,Đất,73,18000,105,148437500
Bán,Huyện Cần Giờ,Đất,64,5550,551.5,17823529.411764704
Cho thuê,Quận Bình Tân,Khác,63,31.5,300,100000
Bán,Quận 3,Căn hộ / chung cư,62,5700,68.5,75769431.40323421
Bán,Quận Tân Phú,Đất,62,9200,100,100000000
Cho thuê,Quận Gò Vấp,Biệt thự,62,34,100,250000
Cho thuê,Quận 3,Biệt thự,59,90,220,360000
Cho thuê,Quận 5,Nhà phố / nhà ở,59,65,100,616438.3561643836
