segment,best_model,actual_price,predicted_price,abs_error_vnd,ape,source,district_name,category_name,model_category,ward,area,rooms,price_per_m2
rent,RF + XGBoost Ensemble,30000000.00000005,19935544.719928462,10064455.280071586,0.33548184266905234,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,118,2,254237.28813559323
rent,RF + XGBoost Ensemble,16000000.000000026,17082425.16929344,1082425.1692934148,0.06765157308083831,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,77,2,207792.2077922078
rent,RF + XGBoost Ensemble,25999999.999999985,24359620.145486645,1640379.8545133397,0.06309153286589772,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,100,3,260000
rent,RF + XGBoost Ensemble,12000000.000000007,17840050.392355513,5840050.392355505,0.48667086602962517,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,113,3,106194.69026548672
rent,RF + XGBoost Ensemble,15000000.00000001,18216659.150877185,3216659.150877176,0.21444394339181158,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,113,3,132743.3628318584
rent,RF + XGBoost Ensemble,30000000.00000005,24076849.737276938,5923150.262723111,0.19743834209077005,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,118,3,254237.28813559323
rent,RF + XGBoost Ensemble,44999999.999999985,23141524.312296744,21858475.68770324,0.4857439041711833,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,115,3,391304.347826087
rent,RF + XGBoost Ensemble,39999999.999999985,29461951.337321892,10538048.662678093,0.2634512165669524,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,127,3,314960.6299212598
rent,RF + XGBoost Ensemble,24999999.999999963,22907279.755605444,2092720.2443945184,0.08370880977578087,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,118,3,211864.40677966105
rent,RF + XGBoost Ensemble,26999999.999999993,22957271.02272139,4042728.9772786014,0.14973070286217047,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,118,3,228813.5593220339
rent,RF + XGBoost Ensemble,27999999.99999999,20454411.599035654,7545588.400964335,0.26948530003444066,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,117,3,239316.2393162393
rent,RF + XGBoost Ensemble,20999999.99999998,13210517.031763492,7789482.968236489,0.3709277603922141,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,52,1,403846.1538461539
rent,RF + XGBoost Ensemble,24999999.999999963,24631194.213247094,368805.78675286844,0.014752231470114759,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,115,3,217391.30434782608
rent,RF + XGBoost Ensemble,24000000,26586940.375932474,2586940.3759324737,0.10778918233051973,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,120,3,200000
rent,RF + XGBoost Ensemble,24999999.999999963,27667292.701196324,2667292.7011963613,0.1066917080478546,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,120,3,208333.33333333337
rent,RF + XGBoost Ensemble,17999999.999999985,15184549.388078751,2815450.611921234,0.15641392288451314,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,69,2,260869.5652173913
rent,RF + XGBoost Ensemble,24000000,25040247.898708787,1040247.8987087868,0.04334366244619945,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,100,3,240000
rent,RF + XGBoost Ensemble,20000000.000000015,20655974.536983367,655974.5369833522,0.032798726849167584,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,112,3,178571.42857142858
rent,RF + XGBoost Ensemble,6499999.999999999,5101137.04568529,1398862.9543147087,0.215209685279186,mogi,Quận 10,Căn hộ,Căn hộ,Không rõ,25,1,260000
rent,RF + XGBoost Ensemble,26999999.999999993,30189130.87317247,3189130.873172477,0.11811595826564733,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,110,3,245454.54545454544
rent,RF + XGBoost Ensemble,42000000.00000003,26005492.75719596,15994507.24280407,0.38082160101914425,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,120,3,350000
rent,RF + XGBoost Ensemble,17999999.999999985,20936924.08534405,2936924.085344065,0.16316244918578152,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,89,2,202247.19101123596
rent,RF + XGBoost Ensemble,22000000.000000007,18641897.047383115,3358102.9526168928,0.1526410433007678,mogi,Quận Tân Phú,Căn hộ,Căn hộ,Không rõ,117,3,188034.18803418803
rent,RF + XGBoost Ensemble,16999999.999999974,20411884.926184703,3411884.9261847287,0.20069911330498436,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,89,2,191011.23595505615
rent,RF + XGBoost Ensemble,24000000,19749608.666819304,4250391.333180696,0.177099638882529,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,82,2,292682.9268292683
rent,RF + XGBoost Ensemble,37999999.99999996,26831677.797732327,11168322.202267636,0.2939032158491486,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,106,3,358490.56603773584
rent,RF + XGBoost Ensemble,5199999.999999999,5785356.072135172,585356.0721351728,0.11256847541061017,mogi,Quận 10,Căn hộ,Căn hộ,Không rõ,25,1,208000
rent,RF + XGBoost Ensemble,4799999.999999999,5862831.647001116,1062831.6470011165,0.22142325979189934,mogi,Quận 3,Căn hộ,Căn hộ,Không rõ,22,1,218181.81818181815
