segment,model_exclusion_reason,source,title,price,area,price_per_m2,district_name,category_name,model_category
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Ngộp chủ cần bán gấp căn nhà 87m2 đường Trần Tử Bình Tân Thông Hội,900000000,106,8490566.03773585,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Cần bán gấp căn nhà cấp 4 ở 1/ Đ. Lê Minh Nhựt-130m2 SHR giá 820 triệu,820000000,130.3,6293169.608595548,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Bán gấp căn nhà vườn ở ngay Phước Thạnh - Củ Chi 220m2 SHR giá 745tr,745000000,220,3386363.636363636,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Nhà giá rẻ Tân Thông Hội Củ Chi. Diện tích 57m2,800000000,189.8999,4212745.767638635,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Ngộp chủ cần bán gấp căn nhà 147m2 đường Cây Da Tân Phú Trung Củ Chi,900000000,156.8,5739795.918367347,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Nhà giá rẻ Tân Thông Hội Củ Chi. Diện tích 136,7m2",900000000,151,5960264.900662252,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,Đất 3 mặt tiền đường Ba Vân - Diện tích lớn trên 2000m,400000000000,2167,184586986.61744347,Quận Tân Bình,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Đất trồng cây 18x36m, Tân An Hôi, Củ Chi, chính chủ, sổ riêng, 870tr",870000000,643,1353032.6594090203,Huyện Củ Chi,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,675m2 (15m x 44m)MẶT TIỀN ĐƯỜNG NHỰA CHỈ 780Tr - TÂN THÔNG HỘI -CỦ CHI,780000000,675,1155555.5555555555,Huyện Củ Chi,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"CHỦ CẦN BÁN GẤP LÔ ĐẤT LỚN 2100m2 TẠI XÃ NHUẬN ĐỨC , CỦ CHI. SHR",2000000000,2100,952380.9523809524,Huyện Củ Chi,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,690 Triệu Sở hữu ngay 481m² mặt tiền đường Nguyễn Viết Xuân,690000000,481,1434511.4345114343,Huyện Củ Chi,Đất,Đất/đất nền
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,"CHỈ 410 TRIỆU - Sở Hữu ngay 127m2 đất ở - Tại Tân Thông Hội, Củ Chi",410000000,127,3228346.4566929135,Huyện Củ Chi,Đất,Đất/đất nền
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,Cô tôi cần bán căn nhà để tiền chữa bệnh nên giá lỗ hơn thị trường,520000000,44,11818181.818181818,Huyện Hóc Môn,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,Nhà Hóc Môn 4x7m 2 phòng ngủ gần chợ Xuân Thới Thượng 395tr,395000000,38,10394736.842105264,Huyện Hóc Môn,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,"NHÀ GẦN NGÃ BA GIỒNG HÓC MÔN GIÁ 435TR 33,8M2",435000000,33.7999,12869860.56171764,Huyện Hóc Môn,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,"Bán Penhouse 1030m2 - Everich Infinity, An Dương Vương, Nội Thất Nhập",90000000000,1030,87378640.77669904,Quận 5,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,"Bán Nhà 40m, 2Lầu hẻm 33 Đường số 53 kế Lâm Văn Bền, Quận 7",590000000,40,14750000,Quận 7,Nhà ở,Nhà phố/nhà ở
