transaction_type,district_name,category_name,median_price_per_m2,median_area,listing_count,cluster
Bán,Quận 4,Nhà ở,133677536.23188405,45,116,4
Bán,Quận 4,Nhà phố,62063157.89473684,38,24,4
Bán,Quận 5,Bất động sản khác,222051282.05128205,96.5,10,4
Bán,Quận 5,Căn hộ,29779411.76470588,70,11,4
Bán,Quận 5,Căn hộ/Chung cư,57142857.14285714,69.5,118,4
Bán,Quận 5,Đất,388574267.2627919,97.5,12,3
Bán,Quận 5,Nhà ở,228000000,44,129,1
Bán,Quận 5,Nhà phố,291666666.6666667,64,29,3
Bán,Quận 6,Bất động sản khác,161328125,77,32,4
Bán,Quận 6,Căn hộ,29882543.926661573,67.5,14,4
Bán,Quận 6,Căn hộ/Chung cư,53062500,72,86,4
Bán,Quận 6,Đất,105468750,100,21,4
Bán,Quận 6,Đất nền,126785714.28571428,93,6,4
Bán,Quận 6,Nhà ở,136190476.19047618,60,158,1
Bán,Quận 6,Nhà phố,165289256.19834712,72,111,4
Bán,Quận 7,Bất động sản khác,81967213.1147541,120,77,4
Bán,Quận 7,Căn hộ,81946826.75814751,112,204,1
Bán,Quận 7,Căn hộ/Chung cư,56666666.666666664,73,210,1
Bán,Quận 7,Đất,94736842.10526316,88,125,4
Bán,Quận 7,Đất nền,101769911.50442478,126,11,4
Bán,Quận 7,Nhà ở,114285714.28571428,56,209,1
Bán,Quận 7,Nhà phố,128285714.28571428,100,144,1
Bán,Quận 7,Phòng/Cho thuê,136923076.92307693,130,5,4
Bán,Quận 8,Bất động sản khác,32500000,60,7,4
Bán,Quận 8,Căn hộ,31250000,74,23,4
Bán,Quận 8,Căn hộ/Chung cư,45000000,71.5,165,1
Bán,Quận 8,Đất,65904761.9047619,100,82,4
Bán,Quận 8,Nhà ở,130217391.30434784,50.4,171,1
Bán,Quận 8,Nhà phố,87638888.8888889,64,48,4
Bán,Quận Bình Tân,Bất động sản khác,105567226.8907563,82,32,4
Bán,Quận Bình Tân,Biệt thự,139880952.3809524,200,20,4
Bán,Quận Bình Tân,Căn hộ,33132530.120481927,68,29,4
Bán,Quận Bình Tân,Căn hộ/Chung cư,43750000,63,157,1
Bán,Quận Bình Tân,Đất,75892857.14285715,80,235,1
Bán,Quận Bình Tân,Đất nền,95093576.1254426,113,30,4
Bán,Quận Bình Tân,Nhà ở,96653633.0049261,60,280,1
Bán,Quận Bình Tân,Nhà phố,123333333.33333336,80,425,1
Bán,Quận Bình Thạnh,Bất động sản khác,137028011.20448178,74.5,178,1
Bán,Quận Bình Thạnh,Biệt thự,147679318.1818182,198,6,4
Bán,Quận Bình Thạnh,Căn hộ,42153846.15384615,72.5,42,4
Bán,Quận Bình Thạnh,Căn hộ chung cư,152778864.9706458,83,6,4
Bán,Quận Bình Thạnh,Căn hộ/Chung cư,68421052.63157895,66,161,1
Bán,Quận Bình Thạnh,Đất,129687500,100,143,1
Bán,Quận Bình Thạnh,Đất nền,147239263.803681,120,29,4
Bán,Quận Bình Thạnh,Nhà ở,162361111.1111111,56,280,1
Bán,Quận Bình Thạnh,Nhà phố,155642023.3463035,68,253,1
Bán,Quận Gò Vấp,Bất động sản khác,112083333.33333334,65.5,88,4
Bán,Quận Gò Vấp,Biệt thự,105000000,210,5,4
Bán,Quận Gò Vấp,Căn hộ,40198039.21568628,55,30,4
Bán,Quận Gò Vấp,Căn hộ chung cư,122042410.71428572,129.5,8,4
Bán,Quận Gò Vấp,Căn hộ/Chung cư,45614035.0877193,65,121,4
Bán,Quận Gò Vấp,Đất,99000000,84,135,1
Bán,Quận Gò Vấp,Đất nền,102272727.27272728,127,7,4
Bán,Quận Gò Vấp,Nhà ở,120000000,56.5,294,1
Bán,Quận Gò Vấp,Nhà phố,125277777.77777779,54,164,1
Bán,Quận Phú Nhuận,Bất động sản khác,131818181.8181818,55,105,4
Bán,Quận Phú Nhuận,Biệt thự,206896551.72413793,174,5,4
Bán,Quận Phú Nhuận,Căn hộ,46160130.71895425,68,16,4
Bán,Quận Phú Nhuận,Căn hộ/Chung cư,77500000,64,85,4
Bán,Quận Phú Nhuận,Đất,219791078.48673066,133.5,24,4
Bán,Quận Phú Nhuận,Đất nền,256069958.84773666,337,6,2
Bán,Quận Phú Nhuận,Nhà ở,201754385.9649123,48,179,1
Bán,Quận Phú Nhuận,Nhà phố,186538461.5384615,71,119,4
Bán,Quận Tân Bình,Bất động sản khác,190476190.47619048,85,95,4
Bán,Quận Tân Bình,Biệt thự,197674418.60465115,152,17,4
Bán,Quận Tân Bình,Căn hộ,49434865.900383145,72,84,4
Bán,Quận Tân Bình,Căn hộ chung cư,205026455.02645504,168,12,4
Bán,Quận Tân Bình,Căn hộ/Chung cư,54166666.666666664,66.475,128,4
Bán,Quận Tân Bình,Đất,148437500,105,73,4
Bán,Quận Tân Bình,Đất nền,166796171.1711712,238,10,4
Bán,Quận Tân Bình,Mặt bằng,207207207.2072072,100,11,4
Bán,Quận Tân Bình,Nhà ở,171274944.5676275,70,296,1
Bán,Quận Tân Bình,Nhà phố,203678229.6650718,109,178,1
Bán,Quận Tân Bình,Phòng/Cho thuê,303927218.3142046,162.5,8,3
Bán,Quận Tân Phú,Bất động sản khác,117777777.77777778,85,23,4
Bán,Quận Tân Phú,Căn hộ,51456310.67961165,78,121,4
Bán,Quận Tân Phú,Căn hộ/Chung cư,58433734.93975904,70,158,1
Bán,Quận Tân Phú,Đất,100000000,100,61,4
Bán,Quận Tân Phú,Nhà ở,115686274.50980392,62,247,1
Bán,Quận Tân Phú,Nhà phố,121763345.86466163,76,82,4
Bán,Thành phố Thủ Đức,Bất động sản khác,71240601.5037594,87.5,86,4
Bán,Thành phố Thủ Đức,Biệt thự,173684210.52631578,350,27,2
Bán,Thành phố Thủ Đức,Căn hộ,30882352.94117647,76,97,4
Bán,Thành phố Thủ Đức,Căn hộ/Chung cư,57446808.5106383,68,337,1
Bán,Thành phố Thủ Đức,Đất,68686868.68686868,88,379,1
Bán,Thành phố Thủ Đức,Đất nền,81781609.1954023,115,300,1
Bán,Thành phố Thủ Đức,Nhà ở,91428571.42857143,70,283,1
Bán,Thành phố Thủ Đức,Nhà phố,115384615.3846154,92,325,1
Cho thuê,Huyện Bình Chánh,Bất động sản khác,68571.42857142858,1750,8,3
Cho thuê,Huyện Bình Chánh,Biệt thự,200000,250,3,4
Cho thuê,Huyện Bình Chánh,Căn hộ,140000,50,5,4
Cho thuê,Huyện Bình Chánh,Nhà phố,149995,100,12,4
Cho thuê,Huyện Bình Chánh,Phòng/Cho thuê,116666.66666666669,30,11,4
Cho thuê,Huyện Bình Chánh,"Văn phòng, Mặt bằng kinh doanh",735714.2857142857,195,2,2
Cho thuê,Huyện Củ Chi,Bất động sản khác,110000,4118,3,3
Cho thuê,Huyện Hóc Môn,Bất động sản khác,42856.42857142857,1400,3,4
Cho thuê,Huyện Hóc Môn,Nhà phố,61912.75167785235,120,4,4
Cho thuê,Huyện Hóc Môn,Phòng/Cho thuê,104545.45454545454,200,15,4
Cho thuê,Huyện Hóc Môn,"Văn phòng, Mặt bằng kinh doanh",1200000,200,3,2
Cho thuê,Huyện Nhà Bè,Biệt thự,247619.04761904763,140,17,4
Cho thuê,Huyện Nhà Bè,Căn hộ,157415.07870753936,78,4,4
Cho thuê,Huyện Nhà Bè,Nhà phố,194444.44444444444,42,5,4
Cho thuê,Huyện Nhà Bè,Phòng/Cho thuê,261904.7619047619,126,3,4
Cho thuê,Huyện Nhà Bè,Văn phòng/Mặt bằng,105000,60,4,4
Cho thuê,Quận 1,Bất động sản khác,243750,50,26,4
Cho thuê,Quận 1,Biệt thự,450000,240,35,4
Cho thuê,Quận 1,Căn hộ,252777.77777777778,45,140,4
Cho thuê,Quận 1,Căn hộ/Chung cư,382791.3279132791,42,4,4
Cho thuê,Quận 1,Đất nền,1113636.3636363635,240,3,2
Cho thuê,Quận 1,Nhà đất cho thuê,285714.28571428574,22,5,4
Cho thuê,Quận 1,Nhà phố,636666.6666666667,100,348,1
Cho thuê,Quận 1,Phòng/Cho thuê,345454.54545454547,199.5,634,1
Cho thuê,Quận 1,"Văn phòng, Mặt bằng kinh doanh",600000,144,43,4
Cho thuê,Quận 1,Văn phòng/Mặt bằng,589285.7142857143,75,9,4
Cho thuê,Quận 10,Bất động sản khác,70000,45,9,4
Cho thuê,Quận 10,Biệt thự,334663.86554621847,126,30,4
Cho thuê,Quận 10,Căn hộ,219178.0821917808,75.5,208,4
Cho thuê,Quận 10,Nhà đất cho thuê,488636.36363636365,105,4,4
Cho thuê,Quận 10,Nhà phố,375000,90,308,1
Cho thuê,Quận 10,Phòng trọ,116666.66666666666,25,2,4
Cho thuê,Quận 10,Phòng/Cho thuê,200000,100,306,1
Cho thuê,Quận 10,"Văn phòng, Mặt bằng kinh doanh",821596.2441314554,115,6,2
Cho thuê,Quận 10,Văn phòng/Mặt bằng,809523.8095238095,78,5,2
Cho thuê,Quận 11,Bất động sản khác,154929.57746478874,71,8,4
Cho thuê,Quận 11,Biệt thự,226071.42857142858,80.5,4,4
Cho thuê,Quận 11,Căn hộ,154588.7445887446,72,24,4
Cho thuê,Quận 11,Nhà phố,343137.2549019608,65,91,4
Cho thuê,Quận 11,Phòng/Cho thuê,178571.42857142858,45,44,4
Cho thuê,Quận 11,"Văn phòng, Mặt bằng kinh doanh",1250000,120,5,2
Cho thuê,Quận 12,Bất động sản khác,98717.94871794872,135,76,4
Cho thuê,Quận 12,Biệt thự,123076.92307692308,100,19,4
Cho thuê,Quận 12,Căn hộ,119782.60869565219,39,126,4
Cho thuê,Quận 12,Đất,39022.988505747126,2975,2,3
Cho thuê,Quận 12,Nhà đất cho thuê,97916.66666666669,192,2,4
Cho thuê,Quận 12,Nhà phố,114510.48951048953,60,152,4
Cho thuê,Quận 12,Phòng/Cho thuê,116666.66666666669,30,204,4
Cho thuê,Quận 12,"Văn phòng, Mặt bằng kinh doanh",1430000,75,4,2
Cho thuê,Quận 12,Văn phòng/Mặt bằng,150000,140,6,4
Cho thuê,Quận 3,Bất động sản khác,156250,45,19,4
Cho thuê,Quận 3,Biệt thự,360000,220,59,4
Cho thuê,Quận 3,Căn hộ,207142.85714285713,40,131,4
Cho thuê,Quận 3,Nhà đất cho thuê,450000,40,2,4
Cho thuê,Quận 3,Nhà phố,394736.84210526315,100,315,1
Cho thuê,Quận 3,Phòng/Cho thuê,325000,200,448,1
Cho thuê,Quận 3,"Văn phòng, Mặt bằng kinh doanh",357714.2857142857,175,44,4
Cho thuê,Quận 3,Văn phòng/Mặt bằng,350000,800,3,4
Cho thuê,Quận 4,Bất động sản khác,75000,45,9,4
Cho thuê,Quận 4,Căn hộ,212500,75,45,4
Cho thuê,Quận 4,Nhà đất cho thuê,340740.74074074073,33.5,2,4
Cho thuê,Quận 4,Nhà phố,300000,49,42,4
Cho thuê,Quận 4,Phòng/Cho thuê,326666.6666666666,103,46,4
Cho thuê,Quận 4,"Văn phòng, Mặt bằng kinh doanh",525000,90,4,4
Cho thuê,Quận 5,Bất động sản khác,56250,45,8,4
Cho thuê,Quận 5,Căn hộ,200000,35,29,4
Cho thuê,Quận 5,Nhà phố,620719.1780821919,100,58,4
Cho thuê,Quận 5,Phòng/Cho thuê,188000,100,109,4
Cho thuê,Quận 6,Bất động sản khác,175000,224,7,4
Cho thuê,Quận 6,Căn hộ,147222.22222222222,56,12,4
Cho thuê,Quận 6,Căn hộ/Chung cư,201098.90109890111,67.5,2,4
Cho thuê,Quận 6,Mặt bằng,171568.6274509804,96,3,4
Cho thuê,Quận 6,Nhà đất cho thuê,162815.12605042016,62,6,4
Cho thuê,Quận 6,Nhà phố,305555.55555555556,80,184,4
Cho thuê,Quận 6,Phòng/Cho thuê,157500,75,45,4
Cho thuê,Quận 6,"Văn phòng, Mặt bằng kinh doanh",183333.33333333337,180,3,4
Cho thuê,Quận 7,Bất động sản khác,242857.14285714287,90,117,4
Cho thuê,Quận 7,Biệt thự,277777.77777777775,200,495,1
Cho thuê,Quận 7,Căn hộ,241568.7760515347,98,956,1
Cho thuê,Quận 7,Căn hộ/Chung cư,230736.301369863,106.5,6,4
Cho thuê,Quận 7,Nhà đất cho thuê,280000,80,5,4
Cho thuê,Quận 7,Nhà phố,357142.85714285716,111,160,4
Cho thuê,Quận 7,Phòng trọ,103125,20,4,4
Cho thuê,Quận 7,Phòng/Cho thuê,222222.22222222225,106,295,1
Cho thuê,Quận 7,"Văn phòng, Mặt bằng kinh doanh",1725000,42.5,2,2
Cho thuê,Quận 7,Văn phòng/Mặt bằng,230769.2307692308,94,7,4
Cho thuê,Quận 8,Bất động sản khác,79500,490,6,4
Cho thuê,Quận 8,Căn hộ,123310.81081081083,53.5,20,4
Cho thuê,Quận 8,Căn hộ/Chung cư,100555.55555555556,95,4,4
Cho thuê,Quận 8,Nhà phố,187500,68.5,24,4
Cho thuê,Quận 8,Phòng/Cho thuê,158333.33333333334,30,55,4
Cho thuê,Quận 8,"Văn phòng, Mặt bằng kinh doanh",161805.55555555556,252,2,4
Cho thuê,Quận Bình Tân,Bất động sản khác,90625,500,51,4
Cho thuê,Quận Bình Tân,Biệt thự,245000,200,48,4
