segment,best_model,mape,median_ape,p90_ape,rmse_vnd,mae_vnd,r2,split_type,train_rows,test_rows,trained_at
rent,RF + XGBoost Ensemble,0.32692202624686945,0.2152656978918937,0.6802599840553409,56554512.000194125,21949241.224702988,0.6875823559883149,stratified_random_by_source,11806,2954,2026-06-27 22:17:22.367261
sale,Tuned RF/XGBoost Ensemble,0.30090354316803514,0.19392518334686903,0.6026684809774525,17214886681.784527,5291395382.768356,0.7535057018354431,stratified_random_by_source,11652,2914,2026-06-27 22:17:22.367261
