feature,%IncMSE,IncNodePurity
floor_area_proxy,24.92282309006983,2414.08279280241
log_floor_area_proxy,23.512073036587374,2234.4990628838705
district_category_price_encoded,42.827234617309465,2049.430870492098
district_model_category_price_encoded,39.46460670975677,1586.684216472898
log_area,24.578692708319696,1377.8477390956243
district_name,47.604124032341,1351.0677396877124
area,25.45431405375415,1335.4542612061973
ward_price_encoded,73.49687645754051,551.0434658070616
distance_to_center,34.74622254133104,539.8074057786977
area_band,11.840388744693227,505.801651627136
log_distance_to_center,33.922558222055194,504.20171882300804
district_price_encoded,29.49046104726998,469.8200746084175
rooms,26.06984973675641,397.483638001194
inferred_rooms,28.837268690204386,392.32247752874304
title_has_frontage,62.32218633026797,250.7482300036884
source_category_price_encoded,24.159840539431805,211.2294221325369
category_name,54.77708757949988,184.92774749968714
title_token_count,40.3315209050817,172.08929712362215
distance_band,16.472048826395135,171.6673575887312
log_area_per_room,35.478101224787935,166.77370760498886
posted_wday,56.259839548618864,165.93590668041892
room_density,43.82839240166257,161.83174391928353
area_per_room,40.90303052545544,159.09077723003296
source,25.070627928299466,137.43260915764787
listing_age_days,38.205821589810824,120.5134753409057
model_category,29.04136628332132,116.04802213982106
frontage_width_m,17.34114817364841,80.0980684271581
source_price_encoded,20.86112713608436,64.1524167323783
category_price_encoded,16.94431206357352,62.174436797790364
frontage_ratio,17.227555313778762,48.167328159907655
inferred_floors,22.530640800068788,45.38533960925261
model_category_price_encoded,20.94920726656686,38.62720264333487
frontage_length_m,12.306982899160325,38.579944678806115
title_has_alley,33.75810980795515,31.897421856506785
title_has_urgent,16.329979696077437,25.123618520404946
posted_hour,14.920385310803821,20.414864931754078
title_has_car_access,23.561641518486717,20.09767861126584
title_has_corner,11.003349509291024,17.57173090457342
title_has_luxury,13.860003032642133,13.128498378611976
title_has_land_signal,13.256438028664551,12.605400595235208
title_has_furnished,11.458763214665892,12.58329393544292
title_has_income_info,5.830808392163761,10.159813251511604
title_has_business,5.137320020762945,7.665573037636318
title_has_legal,5.024397922011332,7.054859730492215
title_has_apartment_signal,9.714356640958842,6.427108753712469
title_has_building,6.411201604206417,5.066703152861117
title_has_elevator,5.108518825170886,4.343904793075223
title_has_room_signal,1.9855502462946635,1.9740564493202215
