tieu_de,gia_raw,dien_tich_raw,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,dia_chi,ngay_dang,phap_ly,id_nguon,lat,lon
Cực Hiếm Toà Nhà 2 Mặt Tiền Đường Lớn Khu K300 Sang Nhất Q.Tân Bình,33 tỷ 500 triệu,116 m2,Quận Tân Bình,Nhà phố,ban,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/cuc-hiem-toa-nha-2-mat-tien-duong-lon-khu-k300-sang-nhat-q-tan-binh-id22713306,mogi.vn,10 PN,"Đường A4, Phường 12, Quận Tân Bình, TPHCM",01/06/2026,Sổ hồng,22713306,10.80014181,106.64970016500001
Siêu Biệt Thự 5 tầng Đối Diện Công Viên Khu Đệ Nhất Hoàng Việt 750m2,130 tỷ,740 m2,Quận Tân Bình,Nhà phố,ban,https://mogi.vn/quan-tan-binh/mua-nha-biet-thu-lien-ke/sieu-biet-thu-5-tang-doi-dien-cong-vien-khu-de-nhat-hoang-viet-750m2-id22713033,mogi.vn,9 PN,"Hoàng Việt, Phường 4, Quận Tân Bình, TPHCM",01/06/2026,Sổ hồng,22713033,10.799312115,106.65837860500005
Căn Biệt Thự Không Gian Sống Đẳng Cấp - Mức Giá Bình Dân Trong Lòng TP,36 tỷ 800 triệu,218 m2,Quận Tân Bình,Nhà phố,ban,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/can-biet-thu-khong-gian-song-dang-cap-muc-gia-binh-dan-trong-long-tp-id22711091,mogi.vn,5 PN,"Nguyễn Cảnh Dị, Phường 4, Quận Tân Bình, TPHCM",01/06/2026,Sổ hồng,22711091,10.799312115,106.65837860500005
Biệt Thự Đẳng Cấp Trong Khu Nội Bộ Sang Trọng- Nâng Tầm Vị Thế Gia Chủ,66 tỷ,350 m2,Quận Tân Bình,Nhà phố,ban,https://mogi.vn/quan-tan-binh/mua-duong-noi-bo/biet-thu-dang-cap-trong-khu-noi-bo-sang-trong-nang-tam-vi-the-gia-chu-id22710566,mogi.vn,8 PN,"Bành Văn Trân, Phường 7, Quận Tân Bình, TPHCM",01/06/2026,Sổ hồng,22710566,10.788679120000001,106.65667342999996
Bán Tòa Nhà Hầm 6 Lầu Mặt Tiền Quận Bình Thạnh Thu Nhập Hơn 1.5 Tỷ/năm,45 tỷ,165 m2,Quận Bình Thạnh,Nhà phố,ban,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ban-toa-nha-ham-6-lau-mat-tien-quan-binh-thanh-thu-nhap-hon-1-5-ty-nam-id22710369,mogi.vn,15 PN,"Bùi Đình Túy, Phường 12, Quận Bình Thạnh, TPHCM",01/06/2026,Sổ hồng,22710369,10.81246805,106.70149612
Siêu Hiếm Mặt Tiền Nguyễn Đình Chiểu Quận 1 8x15 Nhà 5 Tầng,67 tỷ,120 m2,Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/sieu-hiem-mat-tien-nguyen-dinh-chieu-quan-1-8x15-nha-5-tang-id22675337,mogi.vn,10 PN,"Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TPHCM",01/06/2026,Sổ hồng,22675337,10.7878843,106.69840260000001
Bán Khách Sạn 36 Phòng Thu Nhập Khủng Đường Cửu Long Sân Bay,60 tỷ,179 m2,Quận Tân Bình,Phòng/Cho thuê,ban,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-khach-san-36-phong-thu-nhap-khung-duong-cuu-long-san-bay-id22674313,mogi.vn,36 PN,"Cửu Long, Phường 2, Quận Tân Bình, TPHCM",01/06/2026,Sổ hồng,22674313,10.807053565,106.66771316500001
Sản Phẩm Siêu Hiếm Mặt Tiền Quận 3 DT 7x20 Giá Chỉ 39 Tỷ,39 tỷ,152 m2,Quận 3,Bất động sản khác,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/san-pham-sieu-hiem-mat-tien-quan-3-dt-7x20-gia-chi-39-ty-id22662431,mogi.vn,3 PN,"Cư xá Đô Thành, Phường 4, Quận 3, TPHCM",01/06/2026,Sổ hồng,22662431,10.77394247,106.68294143499998
Bán Biệt Thự Mini 4 Tầng 7x16 Hẻm Xe Hơi Đường Lê Văn Sỹ Quận 3,26 tỷ,106 m2,Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-hem-ngo/ban-biet-thu-mini-4-tang-7x16-hem-xe-hoi-duong-le-van-sy-quan-3-id22628289,mogi.vn,8 PN,"Lê Văn Sỹ, Phường 13, Quận 3, TPHCM",01/06/2026,Sổ hồng,22628289,10.78641844,106.67844009500004
Bán Tòa Nhà Góc 2 Mặt Tiền Nội Bộ Đường Cao Thắng Phường 12 Quận 10,60 tỷ,259 m2,Quận 10,Nhà phố,ban,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-toa-nha-goc-2-mat-tien-noi-bo-duong-cao-thang-phuong-12-quan-10-id22617781,mogi.vn,7 PN,"Cao Thắng, Phường 12, Quận 10, TPHCM",01/06/2026,Sổ hồng,22617781,10.773972035,106.672698975
