tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
"Bán nhà đường Lê Văn Sỹ thông Trường Sa, Quận 3, 4x25m, giá 15 tỷ",15 tỷ,105 m2,"Lê Văn Sỹ, Phường 13, Quận 3, TPHCM",Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-duong-le-van-sy-thong-truong-sa-quan-3-4x25m-gia-15-ty-id22589379,mogi.vn,2,15000000000,105,20608,Giấy tờ hợp lệ,22589379,10.78641844,106.67844009500004
"Bán nhà MT đường Nguyễn Văn Mai, P. Võ Thị Sáu, Q.3 5x36, 5tầng",35 tỷ,152 m2,"Nguyễn Văn Mai, Phường 8 (Phường Võ Thị Sáu), Quận 3, TPHCM",Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-mt-duong-nguyen-van-mai-p-vo-thi-sau-q-3-5x36-5tang-id22583541,mogi.vn,10,35000000000,152,20608,Giấy tờ hợp lệ,22583541,10.78875494,106.68696212999998
"Bán nhà HXH Nguyễn Văn Trỗi, Phú Nhuận sát bên Quận 1 tiện xây CHDV",16 tỷ 500 triệu,92 m2,"Nguyễn Văn Trỗi, Phường 15, Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Nhà phố,ban,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-nha-hxh-nguyen-van-troi-phu-nhuan-sat-ben-quan-1-tien-xay-chdv-id22650893,mogi.vn,2,16500000000,92,20607,Giấy tờ hợp lệ,22650893,10.7961483,106.67974853499992
"Bán nhà đường Bùi Thị Xuân, Tôn Thất Tùng, Quận 1, 4.5x16m, 3L, 25 tỷ",25 tỷ 500 triệu,74 m2,"Bùi Thị Xuân, Phường Bến Thành, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-duong-bui-thi-xuan-ton-that-tung-quan-1-4-5x16m-3l-25-ty-id22631431,mogi.vn,5,25500000000,74,20607,Giấy tờ hợp lệ,22631431,10.827997518904857,106.63719884765624
"Bán nhà MT Hồng Lĩnh - Đồng Nai, P15, Q10, 4.1x25m, giá 24 tỷ",23 tỷ 900 triệu,94 m2,"Hồng Lĩnh, Phường 15, Quận 10, TPHCM",Quận 10,Nhà phố,ban,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-nha-mt-hong-linh-dong-nai-p15-q10-4-1x25m-gia-24-ty-id22631407,mogi.vn,3,23900000000,94,20607,Giấy tờ hợp lệ,22631407,10.78174305,106.66621398999996
"Bán nhà đường Bùi Đình Túy, Q. Bình Thạnh. 6.5x22m, giá 16.5 tỷ",16 tỷ,125 m2,"Bùi Đình Túy, Phường 24, Quận Bình Thạnh, TPHCM",Quận Bình Thạnh,Nhà phố,ban,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ban-nha-duong-bui-dinh-tuy-q-binh-thanh-6-5x22m-gia-16-5-ty-id22629197,mogi.vn,5,16000000000,125,20607,Giấy tờ hợp lệ,22629197,10.805521965,106.70514678999996
"Bán nhà đường Bùi Đình Túy, Q. Bình Thạnh, 9x20m, 3 tầng, 21 tỷ",21 tỷ,175 m2,"Bùi Đình Túy, Phường 24, Quận Bình Thạnh, TPHCM",Quận Bình Thạnh,Nhà phố,ban,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ban-nha-duong-bui-dinh-tuy-q-binh-thanh-9x20m-3-tang-21-ty-id22629193,mogi.vn,12,21000000000,175,20607,Giấy tờ hợp lệ,22629193,10.805521965,106.70514678999996
"Bán nhà mặt tiền Lê Văn Sỹ Phú Nhuận, 7.8x25m, 4 lầu, 49.9 tỷ",49 tỷ 990 triệu,186 m2,"Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Nhà phố,ban,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-nha-mat-tien-le-van-sy-phu-nhuan-7-8x25m-4-lau-49-9-ty-id22619602,mogi.vn,5,49990000000,186,20607,Giấy tờ hợp lệ,22619602,10.78987455,106.67098617500004
"Bán nhà mt Tôn Thất Tùng gần Bùi Thị Xuân, Sương Nguyệt Ánh, Q1, 8tầng",76 tỷ,90 m2,"Tôn Thất Tùng, Phường Bến Thành, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mt-ton-that-tung-gan-bui-thi-xuan-suong-nguyet-anh-q1-8tang-id22618798,mogi.vn,8,76000000000,90,20607,Giấy tờ hợp lệ,22618798,10.827997518904857,106.63719884765624
"Bán nhà Mt Nguyễn Phi Khanh, Quận 1, 4.5x16m, H+5L, giá 32.9 tỷ",32 tỷ 900 triệu,70 m2,"Nguyễn Phi Khanh, Phường Tân Định, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mt-nguyen-phi-khanh-quan-1-4-5x16m-h-5l-gia-32-9-ty-id22604381,mogi.vn,10,32900000000,70,20607,Giấy tờ hợp lệ,22604381,10.79138,106.68898289999991
