tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
Hạ Giá - Bán gấp căn nhà cấp 4 ở gần chợ Sáng Tân Phú Trung 105m2 SHR giá 800tr,800 Triệu,105 m2,"Đường Giồng Cát - Xã Tân Phú Trung, Huyện Củ Chi, TP Hồ Chí Minh",Huyện Củ Chi,Nhà phố,ban,https://homedy.com/ban-nha-rieng-huyen-cu-chi-tp-ho-chi-minh/ha-gia-gap-can-cap-4-o-gan-cho-sang-tan-phu-trung-105m2-shr-800tr-es3209366,homedy.com,2,800000000,105,2026-06-06,Sổ hồng,3209366,11.0967072,106.5097461
Nhà Biệt Thự đường Lò Gốm Quận 6 diện tích hơn 700m2,120 Tỷ,726 m2,"Đường Lò Gốm - Phường 11, Quận 6, TP Hồ Chí Minh",Quận 6,Nhà phố,ban,https://homedy.com/ban-nha-mat-pho-quan-6-tp-ho-chi-minh/biet-thu-duong-lo-gom-dien-tich-hon-700m2-es3209365,homedy.com,0,120000000000,726,2026-06-06,Sổ hồng,3209365,10.7455523,106.6476548
Kẹt tiền cần bán gấp căn nhà 101m2 SHR ở gần Cầu Vượt Củ Chi giá tốt 765 triệu,765 Triệu,101 m2,"Đường Nguyễn Văn Hoài - Xã Tân An Hội, Huyện Củ Chi, TP Hồ Chí Minh",Huyện Củ Chi,Nhà phố,ban,https://homedy.com/ban-nha-rieng-huyen-cu-chi-tp-ho-chi-minh/ket-tien-can-gap-101m2-shr-o-gan-cau-vuot-gia-tot-765-trieu-es3209360,homedy.com,2,765000000,101,2026-06-06,Sổ hồng,3209360,11.0967072,106.5097461
"Bán nhà Âu Dương Lân , phường 2 Quận 8 , 5 lầu , 6 phòng ngủ , 7wc chỉ 11,4 tỷ","11,4 Tỷ",46 m2,"Đường Âu Dương Lân - Phường 2, Quận 8, TP Hồ Chí Minh",Quận 8,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-8-tp-ho-chi-minh/au-duong-lan-phuong-2-5-lau-6-phong-ngu-7wc-114-ty-es3208606,homedy.com,6,11400000000,46,2026-05-31,Sổ hồng,3208606,10.7416082,106.6649389
"Bán Gấp !!! nhà Chu Văn An, Bình Thạnh. DT 60m2 Giá 1 TỈ 650","1,6 - 1,7 Tỷ",55 - 60 m2,"Đường Chu Văn An - Phường 26, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-binh-thanh-tp-ho-chi-minh/gap-chu-van-an-dt-60m2-gia-1-ti-650-es3201100,homedy.com,0,1700000000,55,2026-05-03,Sổ hồng,3201100,10.7883675,106.6605145
"Bán Nhà Gấp, Nguyễn Gia Trí, Bình Thạnh, DT 55m2, Giá 1 Tỉ 690.","1,69 Tỷ",60 m2,"Đường Nguyễn Gia Trí - Phường 17, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-binh-thanh-tp-ho-chi-minh/gap-nguyen-gia-tri-dt-55m2-1-ti-690-es3201111,homedy.com,3,1690000000,60,2026-05-25,Sổ hồng,3201111,10.7970171,106.7031929
"P6, Bình Thạnh - DT 64m2 BÁN GẤP giảm còn 6.7 tỷ tl","6,7 Tỷ",64 m2,"Quận Bình Thạnh - , TP Hồ Chí Minh",Quận Bình Thạnh,Bất động sản khác,ban,https://homedy.com/ban-nha-rieng-quan-binh-thanh-tp-ho-chi-minh/p6-dt-64m2-gap-giam-con-6-7-ty-tl-es3209325,homedy.com,0,6700000000,64,2026-06-06,Sổ hồng,3209325,10.812271,106.7040393
"Bán nhà Mặt tiền thụt , Tân Kỳ Tân Qúy , 330m2 , 4 lầu ngang 10x35 chỉ 19,6 tỷ lh 0398879796","19,6 Tỷ",330 m2,"Đường Tân Kỳ Tân Quý - Phường Bình Hưng Hòa A, Quận Bình Tân, TP Hồ Chí Minh",Quận Bình Tân,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-binh-tan-tp-ho-chi-minh/mat-tien-thut-ky-quy-330m2-4-lau-ngang-10x35-196-ty-lh-0398879796-es3208210,homedy.com,0,19600000000,330,2026-05-28,Sổ hồng,3208210,10.7703543,106.5995759
Bán nhà kd Phan Văn Trị - Dt 75m2 - Hẻm tô tô thông. Giá nhỉnh 7 tỷ tl,"7,5 Tỷ",75 m2,"Đường Phan Văn Trị - Phường 5, Quận Gò Vấp, TP Hồ Chí Minh",Quận Gò Vấp,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-go-vap-tp-ho-chi-minh/kd-phan-van-tri-dt-75m2-hem-to-thong-gia-nhinh-7-ty-tl-es3207800,homedy.com,0,7500000000,75,2026-05-25,Sổ hồng,3207800,10.8353538,106.6740337
"Bán nhà mặt tiền kinh doanh - DT 80m2 x 3 tầng BTCT. Chỉ 13,4 tỷ tl","13,4 Tỷ",80 m2,"Đường Nguyễn Thái Sơn - Phường 1, Quận Gò Vấp, TP Hồ Chí Minh",Quận Gò Vấp,Nhà phố,ban,https://homedy.com/ban-nha-mat-pho-quan-go-vap-tp-ho-chi-minh/tien-kinh-doanh-dt-80m2-x-3-tang-btct-134-ty-tl-es3208232,homedy.com,5,13400000000,80,2026-05-28,Sổ hồng,3208232,10.8353538,106.6740337
