test,hypothesis,statistic,p_value,conclusion
Welch t-test log(gia_ban_m2),So sanh gia/m2 trung binh giua Thành phố Thủ Đức va Quận Bình Tân,2.549579657523665,0.010837703702665017,Bác bỏ H0 ở mức ý nghĩa 5%
Chi-square,Loai giao dich va nhom bat dong san doc lap nhau,9035.746568762988,0,Bác bỏ H0 ở mức ý nghĩa 5%
