transaction_type,source,district_name,category_name,listings,median_price,median_area,median_price_per_m2
Bán,chotot,Huyện Nhà Bè,Nhà ở,127,5000000000,64,69444444.44444445
Cho thuê,mogi,Quận 3,Căn hộ,127,8000000,40,212500
Bán,chotot,Quận Tân Bình,Căn hộ/Chung cư,126,4150000000,66.475,54166666.666666664
Bán,mogi,Quận Bình Tân,Nhà phố,126,11000000000,90,127455357.14285713
Cho thuê,mogi,Quận Gò Vấp,Nhà phố,124,18000000,72,250000
Bán,chotot,Quận 3,Nhà ở,123,8500000000,37,213953488.37209305
Bán,alonhadat,Quận Tân Bình,Nhà ở,121,20500000000,96,213541666.66666663
Bán,chotot,Huyện Nhà Bè,Đất,121,5500000000,120,41532258.06451613
Bán,mogi,Quận Tân Phú,Căn hộ,121,3900000000,78,51456310.67961165
Bán,chotot,Quận 7,Đất,120,8900000000,86,94376736.1111111
Bán,chotot,Quận 5,Căn hộ/Chung cư,118,3750000000,69.5,57142857.14285714
Bán,chotot,Quận Gò Vấp,Căn hộ/Chung cư,118,3050000000,65,45905609.09315543
Bán,chotot,Quận 4,Căn hộ/Chung cư,117,5850000000,77,84285714.28571428
Cho thuê,mogi,Quận 12,Căn hộ,117,4500000,39,116666.66666666669
Cho thuê,mogi,Quận Tân Phú,Nhà phố,117,24000000,93,250000
Bán,chotot,Quận Gò Vấp,Đất,114,7500000000,80,97300242.13075063
Cho thuê,mogi,Quận Gò Vấp,Căn hộ,114,5000000,40,134285.7142857143
Cho thuê,mogi,Quận Tân Phú,Căn hộ,114,8500000,63.5,144097.22222222222
Cho thuê,mogi,Quận 7,Bất động sản khác,112,25000000,92,246410.76769690926
Bán,mogi,Quận Phú Nhuận,Nhà phố,111,16000000000,74,191549295.7746479
Bán,chotot,Quận 4,Nhà ở,110,5625000000,43.2999,130058528.42809364
Bán,chotot,Quận 5,Nhà ở,110,8150000000,40.399950000000004,216583333.3333333
Bán,chotot,Quận Bình Thạnh,Đất,110,12000000000,100,125000000
Cho thuê,mogi,Quận 5,Phòng/Cho thuê,109,6500000,100,188000
