transaction_type,source,district_name,category_name,listings,median_price,median_area,median_price_per_m2
Cho thuê,alonhadat,Quận 1,Văn phòng/Mặt bằng,6,107500000,247.5,635683.7606837607
Cho thuê,chotot,Quận 3,"Văn phòng, Mặt bằng kinh doanh",6,145000000,225,1233333.3333333335
Cho thuê,homedy,Quận 12,Bất động sản khác,6,7050000,53,129705.88235294117
Cho thuê,homedy,Quận Bình Thạnh,Bất động sản khác,6,24500000,98,344545.4545454546
Cho thuê,mogi,Quận 11,Bất động sản khác,6,10500000,60.5,244131.45539906103
Cho thuê,mogi,Quận 8,Bất động sản khác,6,38875000,490,79500
Cho thuê,mogi,Quận Tân Phú,Đất nền,6,55000000,735,105000
Cho thuê,muaban,Quận 6,Nhà đất cho thuê,6,10000000,62,162815.12605042016
Bán,alonhadat,Quận 1,Mặt bằng,5,34000000000,70,463414634.14634144
Bán,alonhadat,Quận 11,Đất,5,18000000000,110,272727272.72727275
Bán,alonhadat,Quận 4,Nhà ở,5,28000000000,90,311111111.1111111
Bán,alonhadat,Quận Gò Vấp,Biệt thự,5,19000000000,210,105000000
Bán,alonhadat,Quận Phú Nhuận,Biệt thự,5,36000000000,174,206896551.72413793
Bán,chotot,Quận Phú Nhuận,Đất,5,15000000000,120,129729729.72972973
Bán,homedy,Quận 3,Nhà phố,5,11900000000,60,310679611.65048546
Bán,homedy,Quận 7,Căn hộ,5,6200000000,95,59854014.59854014
Bán,mogi,Huyện Bình Chánh,Đất nền,5,24905000000,1259,22239872.915011913
Bán,mogi,Huyện Nhà Bè,Căn hộ,5,5800000000,73,81690140.84507042
Bán,mogi,Quận 7,Phòng/Cho thuê,5,12900000000,130,136923076.92307693
Bán,mogi,Quận Phú Nhuận,Đất nền,5,38000000000,209,195473251.0288066
Bán,muaban,Quận Bình Thạnh,Đất,5,6400000000,30,213333333.33333337
Cho thuê,chotot,Quận Bình Thạnh,"Văn phòng, Mặt bằng kinh doanh",5,199000000,90,2173913.0434782607
Cho thuê,chotot,Quận Gò Vấp,"Văn phòng, Mặt bằng kinh doanh",5,100000000,50,2000000
Cho thuê,homedy,Quận 7,Bất động sản khác,5,10000000,67,149253.73134328358
Cho thuê,homedy,Quận Tân Bình,Bất động sản khác,5,13000000,120,108333.33333333331
Cho thuê,mogi,Huyện Nhà Bè,Nhà phố,5,25000000,42,194444.44444444444
Cho thuê,muaban,Quận 1,Nhà đất cho thuê,5,6500000,22,285714.28571428574
Cho thuê,muaban,Quận 7,Nhà đất cho thuê,5,25000000,80,280000
Cho thuê,muaban,Quận Tân Bình,Nhà đất cho thuê,5,45000000,133,450000
Bán,alonhadat,Huyện Hóc Môn,Đất,4,3400000000,110.5,43560606.06060606
Bán,alonhadat,Quận 10,Căn hộ chung cư,4,65000000000,272.5,233692106.97977823
Bán,alonhadat,Quận Bình Tân,Biệt thự,4,22400000000,265,103963414.63414633
Bán,alonhadat,Thành phố Thủ Đức,Căn hộ chung cư,4,20195000000,88,178379629.6296296
Bán,homedy,Quận 1,Nhà phố,4,31000000000,78,392586580.08658004
Bán,homedy,Quận Bình Tân,Bất động sản khác,4,28500000000,229,109503309.80185173
Bán,luachonnhadat,Quận 8,Nhà phố,4,12375000000,190.5,69385026.73796791
Bán,mogi,Quận 3,Phòng/Cho thuê,4,222500000000,233,829506802.7210884
Bán,mogi,Quận 8,Bất động sản khác,4,2025000000,61,32916666.666666664
Bán,mogi,Quận Gò Vấp,Phòng/Cho thuê,4,9150000000,63,130039682.53968254
Bán,mogi,Quận Phú Nhuận,Phòng/Cho thuê,4,13525000000,80,157092964.18592837
Bán,muaban,Huyện Nhà Bè,Đất,4,960000000,60.5,45817321.08047898
Bán,muaban,Quận 1,Nhà ở,4,20750000000,54.65,231378378.3783784
Bán,muaban,Quận 12,Nhà ở,4,4225000000,55.25,77886825.8178603
Bán,muaban,Quận 12,Đất,4,11825000000,95.75,58122262.773722626
Bán,muaban,Quận 8,Nhà ở,4,9700000000,68.8,158715880.89330024
Bán,muaban,Thành phố Thủ Đức,Nhà ở,4,6100000000,86,65532581.45363408
Cho thuê,alonhadat,Quận 7,Căn hộ/Chung cư,4,41000000,140.5,292541.8569254186
Cho thuê,alonhadat,Quận 7,Văn phòng/Mặt bằng,4,35000000,177,177884.6153846154
Cho thuê,alonhadat,Quận Bình Tân,Văn phòng/Mặt bằng,4,65000000,160,328333.3333333334
Cho thuê,alonhadat,Quận Tân Phú,Văn phòng/Mặt bằng,4,33000000,185,170471.01449275366
Cho thuê,homedy,Quận 3,Căn hộ,4,13000000,88,147758.28460038986
Cho thuê,homedy,Quận 7,Căn hộ,4,14250000,70.5,214986.7374005305
Cho thuê,homedy,Thành phố Thủ Đức,Đất nền,4,125000000,329.5,233891.8918918919
Cho thuê,luachonnhadat,Quận Tân Phú,Nhà phố,4,40000000,69.5,399684.87394957984
Cho thuê,mogi,Huyện Hóc Môn,Nhà phố,4,10500000,120,61912.75167785235
Cho thuê,mogi,Quận 11,Biệt thự,4,24000000,80.5,226071.42857142858
Cho thuê,mogi,Quận Bình Thạnh,Đất nền,4,65000000,280,235131.57894736843
Cho thuê,muaban,Quận 1,Căn hộ/Chung cư,4,12500000,42,382791.3279132791
Cho thuê,muaban,Quận 10,Nhà đất cho thuê,4,85000000,105,488636.36363636365
Cho thuê,muaban,Quận 7,Phòng trọ,4,2350000,20,103125
Cho thuê,muaban,Quận Phú Nhuận,Căn hộ/Chung cư,4,11750000,62.5,178717.9487179487
Cho thuê,muaban,Quận Tân Bình,Văn phòng/Mặt bằng,4,11500000,30.5,277777.77777777775
Cho thuê,muaban,Quận Tân Phú,Phòng trọ,4,3500000,22,183333.3333333333
Cho thuê,muaban,Thành phố Thủ Đức,Phòng trọ,4,1900000,11.3,161666.66666666666
Bán,alonhadat,Huyện Củ Chi,Nhà trọ,3,850000000,240,3541666.6666666665
Bán,alonhadat,Quận 10,Biệt thự,3,45000000000,182,247252747.25274727
Bán,alonhadat,Quận 6,Đất,3,11600000000,130,89230769.23076923
Bán,alonhadat,Quận 7,Đất,3,19100000000,163,109815950.9202454
Bán,alonhadat,Quận Phú Nhuận,Căn hộ chung cư,3,78000000000,220,354545454.54545456
Bán,alonhadat,Quận Tân Phú,Căn hộ chung cư,3,9600000000,136,112500000
Bán,chotot,Huyện Cần Giờ,Căn hộ/Chung cư,3,1980000000,33,60000000
Bán,homedy,Huyện Củ Chi,Bất động sản khác,3,610000000,150,4066666.6666666665
Bán,homedy,Huyện Hóc Môn,Đất nền,3,14800000000,300,49333333.333333336
Bán,homedy,Quận 10,Bất động sản khác,3,11500000000,89,235849056.6037736
Bán,homedy,Quận 12,Đất nền,3,11500000000,200,57500000
Bán,homedy,Quận 7,Bất động sản khác,3,5500000000,76,63953488.37209302
Bán,homedy,Quận 7,Nhà phố,3,45000000000,100,300000000
Bán,homedy,Quận 8,Bất động sản khác,3,1500000000,60,25000000
Bán,homedy,Quận Bình Thạnh,Căn hộ,3,2900000000,62.53,43283582.08955224
Bán,homedy,Quận Tân Bình,Bất động sản khác,3,2690000000,39,76857142.85714285
Bán,mogi,Quận 10,Phòng/Cho thuê,3,18000000000,115,156521739.13043478
Bán,muaban,Huyện Hóc Môn,Đất,3,8500000000,514,30992217.898832686
Bán,muaban,Quận Gò Vấp,Căn hộ/Chung cư,3,2100000000,52,40384615.384615384
Cho thuê,alonhadat,Quận 12,Văn phòng/Mặt bằng,3,65000000,240,270833.3333333333
Cho thuê,alonhadat,Quận 3,Văn phòng/Mặt bằng,3,350000000,800,350000
Cho thuê,alonhadat,Quận Tân Bình,Văn phòng/Mặt bằng,3,45000000,250,180000
Cho thuê,chotot,Huyện Hóc Môn,"Văn phòng, Mặt bằng kinh doanh",3,240000000,200,1200000
Cho thuê,chotot,Quận 1,"Văn phòng, Mặt bằng kinh doanh",3,290000000,80,3750000
Cho thuê,chotot,Quận 10,"Văn phòng, Mặt bằng kinh doanh",3,200000000,90,2444444.4444444445
Cho thuê,chotot,Quận 11,"Văn phòng, Mặt bằng kinh doanh",3,200000000,120,1520000
Cho thuê,chotot,Quận 12,"Văn phòng, Mặt bằng kinh doanh",3,58000000,50,1700000
Cho thuê,homedy,Huyện Nhà Bè,Căn hộ,3,10000000,85,117647.0588235294
Cho thuê,homedy,Quận 10,Căn hộ,3,16000000,75,213333.33333333337
Cho thuê,homedy,Quận 3,Nhà phố,3,11000000,75,150000
Cho thuê,homedy,Quận Bình Tân,Phòng/Cho thuê,3,2700000,20,135000
Cho thuê,homedy,Quận Phú Nhuận,Bất động sản khác,3,18500000,85,217647.0588235294
Cho thuê,homedy,Quận Phú Nhuận,Căn hộ,3,17000000,90,177777.77777777778
Cho thuê,homedy,Quận Tân Bình,Nhà phố,3,25000000,150,133333.33333333334
Cho thuê,homedy,Thành phố Thủ Đức,Phòng/Cho thuê,3,1800000,71,26470.58823529412
Cho thuê,luachonnhadat,Quận 5,Nhà phố,3,40000000,73,616438.3561643836
Cho thuê,luachonnhadat,Quận 6,Mặt bằng,3,30000000,96,171568.6274509804
Cho thuê,luachonnhadat,Quận Bình Tân,Nhà xưởng,3,60000000,634,126182.96529968454
Cho thuê,luachonnhadat,Quận Bình Tân,Shop house,3,21000000,50,413793.1034482759
Cho thuê,mogi,Huyện Bình Chánh,Biệt thự,3,55000000,250,200000
Cho thuê,mogi,Huyện Bình Chánh,Căn hộ,3,6500000,63,137500
Cho thuê,mogi,Huyện Củ Chi,Bất động sản khác,3,450000000,4118,110000
Cho thuê,mogi,Huyện Nhà Bè,Phòng/Cho thuê,3,33000000,126,261904.7619047619
Cho thuê,mogi,Quận 1,Đất nền,3,330000000,240,1113636.3636363635
Cho thuê,mogi,Quận 10,"Văn phòng, Mặt bằng kinh doanh",3,40000000,140,285714.28571428574
Cho thuê,mogi,Quận 4,"Văn phòng, Mặt bằng kinh doanh",3,40000000,100,500000
Cho thuê,mogi,Quận Bình Tân,"Văn phòng, Mặt bằng kinh doanh",3,15000000,75,200000
Cho thuê,muaban,Quận 1,Văn phòng/Mặt bằng,3,33000000,60,589285.7142857143
Cho thuê,muaban,Quận 10,Văn phòng/Mặt bằng,3,40000000,78,809523.8095238095
Cho thuê,muaban,Quận 12,Văn phòng/Mặt bằng,3,7500000,70,107142.85714285714
Cho thuê,muaban,Quận 7,Văn phòng/Mặt bằng,3,15000000,60,250000
Cho thuê,muaban,Quận Bình Tân,Kho xưởng,3,5000000,25,200000
Cho thuê,muaban,Quận Bình Tân,Nhà đất cho thuê,3,4500000,30,116666.66666666669
Cho thuê,muaban,Quận Gò Vấp,Nhà đất cho thuê,3,6500000,32,108333.33333333331
Cho thuê,muaban,Quận Tân Bình,Căn hộ/Chung cư,3,10000000,75,133333.33333333334
Cho thuê,muaban,Quận Tân Bình,Phòng trọ,3,3200000,25,128000
Cho thuê,muaban,Quận Tân Phú,Căn hộ/Chung cư,3,9000000,65,120000
Cho thuê,muaban,Quận Tân Phú,Kho xưởng,3,3500000,30,116666.66666666669
Cho thuê,muaban,Quận Tân Phú,Nhà đất cho thuê,3,20000000,72,254545.45454545456
Cho thuê,muaban,Thành phố Thủ Đức,Căn hộ/Chung cư,3,8990000,64,140468.75
Cho thuê,muaban,Thành phố Thủ Đức,Đất,3,55000000,160,343750
Bán,alonhadat,Huyện Bình Chánh,Đất,2,3525000000,116.5,50518939.39393939
Bán,alonhadat,Quận 11,Biệt thự,2,88000000000,328.5,267884943.28712285
Bán,alonhadat,Quận 11,Căn hộ chung cư,2,27950000000,260,99615384.61538462
Bán,alonhadat,Quận 3,Căn hộ chung cư,2,50500000000,162,252992957.7464789
Bán,alonhadat,Quận 3,Mặt bằng,2,137000000000,275,440555555.5555556
Bán,alonhadat,Quận 7,Nhà trọ,2,8745000000,121.5,70460355.43403965
Bán,alonhadat,Quận Bình Tân,Căn hộ chung cư,2,5625000000,65,78750000
Bán,alonhadat,Quận Gò Vấp,Nhà trọ,2,9200000000,102,88273809.52380954
Bán,alonhadat,Quận Phú Nhuận,Mặt bằng,2,17745000000,59,281745169.08212566
Bán,alonhadat,Quận Tân Bình,Đất nền,2,101000000000,755,153645637.28073478
Bán,alonhadat,Quận Tân Phú,Mặt bằng,2,24750000000,135,205000000
Bán,alonhadat,Quận Tân Phú,Đất nền,2,53999000000,509,91658268.44499268
Bán,alonhadat,Thành phố Thủ Đức,Mặt bằng,2,111000000000,976.5,82580037.66478342
Bán,alonhadat,Thành phố Thủ Đức,Nhà trọ,2,18350000000,191,88867788.02676795
Bán,chotot,Quận 3,Đất,2,17900000000,154.375,120831608.00552106
Bán,chotot,Quận 4,Đất,2,3975000000,57.84995,82109220.41705687
Bán,homedy,Huyện Bình Chánh,Nhà phố,2,5150000000,73.5,68376623.37662336
Bán,homedy,Huyện Cần Giờ,Bất động sản khác,2,86000000000,706,121869983.94863564
Bán,homedy,Huyện Cần Giờ,Đất nền,2,14545000000,1126.5,15010772.214285305
Bán,homedy,Huyện Nhà Bè,Căn hộ,2,6350000000,92.5,69404761.90476191
Bán,homedy,Huyện Nhà Bè,Nhà phố,2,15250000000,129,104599719.1011236
Bán,homedy,Quận 1,Bất động sản khác,2,122500000000,163,742467043.3145009
Bán,homedy,Quận 12,Căn hộ,2,2445000000,76,34676470.5882353
Bán,homedy,Quận 12,Phòng/Cho thuê,2,1850000000,53.5,34786414.56582633
Bán,homedy,Quận 5,Nhà phố,2,38000000000,65,584937039.6768829
Bán,homedy,Quận 6,Nhà phố,2,60437500000,395,89480565.59917356
Bán,homedy,Quận Bình Tân,Căn hộ,2,3750000000,69,54411764.705882356
Bán,homedy,Quận Phú Nhuận,Căn hộ,2,2225000000,49.5,44948979.591836736
Bán,luachonnhadat,Quận Bình Tân,Khách sạn,2,24500000000,161,156702898.55072463
Bán,luachonnhadat,Quận Bình Tân,Nhà xưởng,2,33100000000,362.5,91403846.15384614
Bán,luachonnhadat,Quận Tân Phú,Đất,2,12450000000,176,69611111.1111111
Bán,mogi,Quận 5,Đất nền,2,14750000000,87.5,162719824.14068747
Bán,mogi,Quận 8,Phòng/Cho thuê,2,15400000000,108,141855598.18625742
Bán,mogi,Quận Bình Thạnh,Phòng/Cho thuê,2,34000000000,182.5,195454545.45454547
Bán,mogi,Quận Bình Tân,Phòng/Cho thuê,2,32000000000,292,111717022.84450994
Bán,mogi,Quận Tân Phú,Đất nền,2,42000000000,361.5,126470443.06608973
Bán,mogi,Thành phố Thủ Đức,Phòng/Cho thuê,2,13100000000,101.5,123866758.24175826
Bán,muaban,Huyện Bình Chánh,Kho xưởng,2,7500000000,169,48474140.700289115
Bán,muaban,Huyện Bình Chánh,Đất,2,8185000000,96.5,79010281.38528138
Bán,muaban,Huyện Hóc Môn,Nhà ở,2,4575000000,110.9,44606887.58934373
Bán,muaban,Huyện Nhà Bè,Nhà ở,2,2675000000,45.4,59017027.863777086
Bán,muaban,Quận 1,Kho xưởng,2,12900000000,75,196818181.8181818
Bán,muaban,Quận 11,Căn hộ/Chung cư,2,5245000000,81,64335140.30612245
Bán,muaban,Quận 11,Đất,2,10245000000,60.65,159275506.66897625
Bán,muaban,Quận 3,Đất,2,21650000000,86.8,250827991.45299146
Bán,muaban,Quận 6,Kho xưởng,2,67750000000,202.2,326548302.24772835
Bán,muaban,Quận 6,Nhà ở,2,2145000000,22.9,109460989.9328859
Bán,muaban,Quận 7,Căn hộ/Chung cư,2,8750000000,75.6,116216405.37513998
Bán,muaban,Quận 7,Đất,2,28900000000,147.1,183152358.3305056
Bán,muaban,Quận Bình Thạnh,Căn hộ/Chung cư,2,3700000000,65,53750000
Bán,muaban,Quận Bình Tân,Kho xưởng,2,6625000000,90.1,74857806.36828771
Bán,muaban,Quận Phú Nhuận,Đất,2,19800000000,74,271491228.0701754
Bán,muaban,Quận Tân Bình,Căn hộ/Chung cư,2,13800000000,140.3,117897514.9476831
Bán,muaban,Quận Tân Bình,Đất,2,11150000000,63.05,201860572.48384118
Cho thuê,alonhadat,Huyện Nhà Bè,Văn phòng/Mặt bằng,2,7500000,95,83333.33333333334
Cho thuê,alonhadat,Quận 10,Văn phòng/Mặt bằng,2,58500000,85,600000
Cho thuê,alonhadat,Quận 8,Căn hộ/Chung cư,2,10500000,90,116666.66666666667
Cho thuê,alonhadat,Quận Gò Vấp,Văn phòng/Mặt bằng,2,45000000,72,457142.85714285716
Cho thuê,alonhadat,Quận Phú Nhuận,Văn phòng/Mặt bằng,2,74000000,117,613888.888888889
Cho thuê,alonhadat,TP Vũng Tàu cũ,Căn hộ/Chung cư,2,7250000,66.5,112505.9780009565
Cho thuê,chotot,Quận Phú Nhuận,"Văn phòng, Mặt bằng kinh doanh",2,240000000,115,2616666.666666667
Cho thuê,homedy,Huyện Bình Chánh,Căn hộ,2,7000000,45,157500
Cho thuê,homedy,Quận 1,Bất động sản khác,2,128500000,101.5,1213148.2237648019
Cho thuê,homedy,Quận 11,Bất động sản khác,2,10750000,74,145646.60691421255
Cho thuê,homedy,Quận 11,Căn hộ,2,10750000,74,145251.14155251143
Cho thuê,homedy,Quận Bình Thạnh,Căn hộ,2,35500000,76.5,598867.9245283018
Cho thuê,homedy,Quận Bình Thạnh,Phòng/Cho thuê,2,226750000,259,547222.2222222222
Cho thuê,homedy,Quận Gò Vấp,Căn hộ,2,11750000,85,138235.29411764705
Cho thuê,mogi,Huyện Hóc Môn,Bất động sản khác,2,154999500,2150,64531.66256157636
Cho thuê,mogi,Quận 11,"Văn phòng, Mặt bằng kinh doanh",2,26500000,117,304292.9292929293
Cho thuê,mogi,Quận 6,"Văn phòng, Mặt bằng kinh doanh",2,28500000,180,158333.33333333337
Cho thuê,mogi,Quận 8,"Văn phòng, Mặt bằng kinh doanh",2,47000000,252,161805.55555555556
Cho thuê,mogi,Quận Bình Tân,Đất nền,2,32500000,1057.5,63888.88888888889
Cho thuê,mogi,Quận Phú Nhuận,"Văn phòng, Mặt bằng kinh doanh",2,31000000,290,183333.33333333334
Cho thuê,mogi,Quận Tân Bình,Đất nền,2,167500000,1203.5,122921.73067574138
Cho thuê,muaban,Huyện Nhà Bè,Văn phòng/Mặt bằng,2,15250000,32,947857.1428571428
Cho thuê,muaban,Quận 10,Phòng trọ,2,2950000,25,116666.66666666666
Cho thuê,muaban,Quận 12,Nhà đất cho thuê,2,17750000,192,97916.66666666669
Cho thuê,muaban,Quận 12,Đất,2,112500000,2975,39022.988505747126
Cho thuê,muaban,Quận 3,Nhà đất cho thuê,2,18000000,40,450000
Cho thuê,muaban,Quận 4,Nhà đất cho thuê,2,10500000,33.5,340740.74074074073
Cho thuê,muaban,Quận 7,Căn hộ/Chung cư,2,4200000,27,158750
Cho thuê,muaban,Quận 8,Căn hộ/Chung cư,2,7250000,100,72500
Cho thuê,muaban,Quận Bình Thạnh,Kho xưởng,2,10800000,65,138333.33333333334
Cho thuê,muaban,Quận Bình Tân,Phòng trọ,2,2550000,25,102000
Cho thuê,muaban,Quận Tân Bình,Kho xưởng,2,32000000,201,281565.6565656566
Cho thuê,muaban,Quận Tân Phú,Văn phòng/Mặt bằng,2,13250000,102,154861.11111111112
Cho thuê,muaban,Thành phố Thủ Đức,Kho xưởng,2,56000000,343,174784.11053540587
Cho thuê,muaban,Thành phố Thủ Đức,Nhà đất cho thuê,2,21400000,87,245270.27027027027
Cho thuê,muaban,Thành phố Thủ Đức,Văn phòng/Mặt bằng,2,40000000,60,700000
Bán,alonhadat,Huyện Bình Chánh,Biệt thự,1,15500000000,176,88068181.81818181
Bán,alonhadat,Huyện Bình Chánh,Căn hộ chung cư,1,1600000000,51,31372549.01960784
Bán,alonhadat,Huyện Củ Chi,Biệt thự,1,14000000000,2553,5483744.614179397
Bán,alonhadat,Huyện Củ Chi,Mặt bằng,1,1200000000,144,8333333.333333333
Bán,alonhadat,Huyện Củ Chi,Đất nền,1,750000000,173,4335260.115606937
Bán,alonhadat,Huyện Hóc Môn,Biệt thự,1,13500000000,600,22500000
Bán,alonhadat,Huyện Hóc Môn,Mặt bằng,1,5700000000,140,40714285.71428572
Bán,alonhadat,Huyện Nhà Bè,Đất nền,1,75000000000,611,122749590.83469722
Bán,alonhadat,Không rõ,Căn hộ/Chung cư,1,2200000000,56,39285714.28571428
Bán,alonhadat,Quận 10,Mặt bằng,1,24000000000,62,387096774.1935484
Bán,alonhadat,Quận 12,Mặt bằng,1,6600000000,99,66666666.666666664
Bán,alonhadat,Quận 5,Biệt thự,1,18900000000,83,227710843.37349397
Bán,alonhadat,Quận 5,Căn hộ chung cư,1,40000000000,107,373831775.7009346
Bán,alonhadat,Quận 6,Biệt thự,1,300000000000,1200,250000000
Bán,alonhadat,Quận 6,Căn hộ chung cư,1,12500000000,130,96153846.15384616
Bán,alonhadat,Quận 7,Biệt thự,1,58000000000,240,241666666.66666663
Bán,alonhadat,Quận 7,Căn hộ chung cư,1,27900000000,271,102952029.5202952
Bán,alonhadat,Quận 7,Đất nền,1,32000000000,100,320000000
Bán,alonhadat,Quận 8,Căn hộ chung cư,1,25800000000,130,198461538.4615385
Bán,alonhadat,Quận Bình Thạnh,Căn hộ/Chung cư,1,10500000000,77,136363636.36363637
Bán,alonhadat,Quận Bình Tân,Nhà trọ,1,7200000000,111,64864864.86486486
Bán,alonhadat,Quận Bình Tân,Đất nền,1,4200000000,50,84000000
Bán,alonhadat,Quận Tân Bình,Nhà trọ,1,8199999999.999999,98,83673469.3877551
Bán,alonhadat,Quận Tân Phú,Biệt thự,1,16500000000,108,152777777.7777778
Bán,alonhadat,Quận Tân Phú,Nhà trọ,1,6600000000,98,67346938.7755102
Bán,alonhadat,TP Vũng Tàu cũ,Căn hộ/Chung cư,1,2800000000,48,58333333.333333336
Bán,chotot,Huyện Củ Chi,Căn hộ/Chung cư,1,5400000000,97,55670103.0927835
Bán,chotot,Quận 10,Đất,1,23500000000,110,213636363.63636363
Bán,chotot,Quận 5,Đất,1,22000000000,184.5,119241192.41192412
Bán,homedy,Huyện Bình Chánh,Đất nền,1,2300000000,110,20909090.90909091
Bán,homedy,Huyện Hóc Môn,Bất động sản khác,1,14800000000,230,64347826.08695652
Bán,homedy,Quận 1,Căn hộ,1,64000000000,121,528925619.8347107
Bán,homedy,Quận 1,Phòng/Cho thuê,1,27500000000,68,404411764.7058824
Bán,homedy,Quận 1,Đất nền,1,350000000000,571,612959719.7898424
Bán,homedy,Quận 10,Căn hộ,1,6900000000,75,92000000
Bán,homedy,Quận 11,Căn hộ,1,1500000000,86,17441860.465116277
Bán,homedy,Quận 3,Bất động sản khác,1,4680000000,45,104000000
Bán,homedy,Quận 3,Đất nền,1,125000000000,214,584112149.5327103
Bán,homedy,Quận 4,Bất động sản khác,1,7000000000,105,66666666.666666664
Bán,homedy,Quận 6,Căn hộ,1,1700000000,50,34000000
Bán,homedy,Quận Bình Thạnh,Phòng/Cho thuê,1,27900000000,106,263207547.1698113
Bán,homedy,Quận Bình Thạnh,Đất nền,1,79000000000,219,360730593.60730594
Bán,homedy,Quận Bình Tân,Phòng/Cho thuê,1,28500000000,230,123913043.47826087
Bán,homedy,Quận Phú Nhuận,Đất nền,1,260000000000,465,559139784.9462366
Bán,homedy,Quận Tân Bình,Phòng/Cho thuê,1,1800000000,50,36000000
Bán,homedy,Quận Tân Bình,Đất nền,1,379000000000,2400,157916666.66666666
Bán,homedy,Quận Tân Phú,Bất động sản khác,1,5150000000,63,81746031.74603175
Bán,homedy,Thành phố Thủ Đức,Phòng/Cho thuê,1,5500000000,100,55000000
Bán,luachonnhadat,Huyện Bình Chánh,Đất,1,125000000000,4650,26881720.430107526
Bán,luachonnhadat,Quận 11,Nhà phố,1,2880000000,14,205714285.7142857
Bán,luachonnhadat,Quận 5,Nhà phố,1,16899999999.999998,97,174226804.12371132
Bán,luachonnhadat,Quận 6,Căn hộ,1,5800000000,56,103571428.57142857
Bán,luachonnhadat,Quận 6,Phòng cho thuê,1,28000000000,112,250000000
Bán,luachonnhadat,Quận 8,Đất,1,4900000000,62,79032258.06451613
Bán,luachonnhadat,Quận Bình Tân,Căn hộ,1,3680000000,51,72156862.74509804
Bán,luachonnhadat,Quận Bình Tân,Mặt bằng,1,1600000000,160,10000000
Bán,luachonnhadat,Quận Bình Tân,Shop house,1,8500000000,88,96590909.0909091
Bán,luachonnhadat,Quận Phú Nhuận,Nhà phố,1,16700000000,68,245588235.2941177
Bán,luachonnhadat,Quận Tân Phú,Căn hộ dịch vụ,1,10950000000,102,107352941.1764706
Bán,luachonnhadat,Quận Tân Phú,Khách sạn,1,10500000000,80,131250000
Bán,luachonnhadat,Quận Tân Phú,Phòng cho thuê,1,19000000000,157,121019108.28025478
Bán,mogi,Huyện Củ Chi,Nhà phố,1,1425000000,90,15833333.333333334
Bán,mogi,Huyện Củ Chi,Phòng/Cho thuê,1,2150000000,90,23888888.888888888
Bán,mogi,Huyện Hóc Môn,Đất nền,1,620000000,65,9538461.538461538
Bán,mogi,Quận 11,Đất nền,1,3315000000,48,69062500
Bán,mogi,Quận 4,Đất nền,1,1790000000,26,68846153.84615384
Bán,mogi,Quận 8,Đất nền,1,5400000000,54,100000000
Bán,muaban,Huyện Bình Chánh,Căn hộ/Chung cư,1,10000000000,100,100000000
Bán,muaban,Quận 1,Đất,1,42000000000,400,105000000
Bán,muaban,Quận 10,Kho xưởng,1,9400000000,32.3,291021671.8266254
Bán,muaban,Quận 10,Văn phòng/Mặt bằng,1,48500000000,135,359259259.2592593
Bán,muaban,Quận 12,Phòng trọ,1,5000000000,80,62500000
Bán,muaban,Quận 3,Kho xưởng,1,117000000000,150.7,776376907.7637691
Bán,muaban,Quận 3,Nhà ở,1,330000000000,341,967741935.483871
Bán,muaban,Quận 3,Văn phòng/Mặt bằng,1,8199999999.999999,45,182222222.2222222
Bán,muaban,Quận 4,Nhà ở,1,68000000000,68,1000000000
Bán,muaban,Quận 6,Đất,1,1700000000,18,94444444.44444443
Bán,muaban,Quận 7,Kho xưởng,1,2350000000,17,138235294.11764705
Bán,muaban,Quận Bình Thạnh,Phòng trọ,1,6900000000,37.1,185983827.49326143
Bán,muaban,Quận Gò Vấp,Văn phòng/Mặt bằng,1,8100000000,52,155769230.76923078
Bán,muaban,Quận Gò Vấp,Đất,1,5500000000,50,110000000
Bán,muaban,Quận Tân Bình,Kho xưởng,1,15800000000,60,263333333.33333337
Bán,muaban,Quận Tân Phú,Văn phòng/Mặt bằng,1,10900000000,52,209615384.6153846
Bán,muaban,Thành phố Thủ Đức,Kho xưởng,1,10990000000,87,126321839.08045976
Bán,muaban,Thành phố Thủ Đức,Phòng trọ,1,33500000000,256,130859375
Cho thuê,alonhadat,Bình Dương cũ,Căn hộ/Chung cư,1,1500000,30,50000
Cho thuê,alonhadat,Không rõ,Căn hộ/Chung cư,1,13000000,79,164556.96202531646
Cho thuê,alonhadat,Quận 6,Căn hộ/Chung cư,1,12000000,70,171428.57142857142
Cho thuê,alonhadat,Quận Bình Thạnh,Văn phòng/Mặt bằng,1,1500000,80,18750
Cho thuê,alonhadat,Quận Phú Nhuận,Căn hộ/Chung cư,1,16000000,93,172043.01075268816
Cho thuê,alonhadat,TP Bến Cát cũ,Căn hộ/Chung cư,1,3000000,50,60000
Cho thuê,alonhadat,Thành phố Thủ Đức,Văn phòng/Mặt bằng,1,10000000,90,111111.11111111112
Cho thuê,chotot,Huyện Bình Chánh,"Văn phòng, Mặt bằng kinh doanh",1,350000000,250,1400000
Cho thuê,chotot,Huyện Củ Chi,"Văn phòng, Mặt bằng kinh doanh",1,170000000,120,1416666.6666666667
Cho thuê,chotot,Quận 4,"Văn phòng, Mặt bằng kinh doanh",1,100000000,36,2777777.777777778
Cho thuê,chotot,Quận 6,"Văn phòng, Mặt bằng kinh doanh",1,60000000,25,2400000
Cho thuê,chotot,Quận 7,"Văn phòng, Mặt bằng kinh doanh",1,75000000,25,3000000
