feature,%IncMSE,IncNodePurity
area,71.83081608160956,478.772476181209
ward_price_encoded,26.649681865096692,342.5808821156582
district_name,17.828234132244656,291.5966580489286
distance_to_center,20.0379835777868,258.24515847068045
rooms,37.028520101632296,191.36225819129692
listing_age_days,3.866073291908392,74.59533345251045
category_name,26.259797921091415,57.945633834645484
posted_hour,5.105638916197734,4.658761252969358
source,4.1032352932684635,4.2639453997098515
posted_wday,1.4365338740176652,1.601915494406241
