segment,model,rmse_vnd,mae_vnd,mape,r2
sale,Linear Regression,57970262417.01757,18882865233.37394,1.0050334465360287,-11.429462294245363
sale,Random Forest,16865375103.605158,9014185185.077944,0.627791123250329,-0.0520437924632966
sale,XGBoost,30195745450.75076,11662825142.1081,0.7674731986694747,-2.3723552663128316
sale,RF + XGBoost Ensemble,21250756215.21637,9837704780.853107,0.6545323691732164,-0.67028502299983606
rent,Linear Regression,417794836.4876368,224925527.20582232,0.9401367006018312,-0.009590927633585045
rent,Random Forest,423639113.2399684,214539751.53749403,0.7326838079084597,-0.038033580899693886
rent,XGBoost,446677057.6211794,225363845.59315115,0.8081027777868791,-0.15400209195970715
rent,RF + XGBoost Ensemble,435465737.13955736,219471949.7289381,0.7162013323300856,-0.09679959834926155
