transaction_type,district_name,category_name,median_price_per_m2,median_area,listing_count,cluster
Bán,Quận Bình Tân,Bất động sản khác,105567226.8907563,82,32,1
Bán,Quận Bình Tân,Biệt thự,139880952.3809524,200,18,1
Bán,Quận Bình Tân,Căn hộ,33132530.120481927,68,29,1
Bán,Quận Bình Tân,Căn hộ/Chung cư,43750000,63,157,4
Bán,Quận Bình Tân,Đất,75000000,80,226,4
Bán,Quận Bình Tân,Đất nền,95093576.1254426,106,31,1
Bán,Quận Bình Tân,Nhà ở,96969696.96969695,60,273,4
Bán,Quận Bình Tân,Nhà phố,124843750,80,394,4
Bán,Quận Bình Thạnh,Bất động sản khác,137028011.20448178,74.5,178,4
Bán,Quận Bình Thạnh,Biệt thự,147679318.1818182,198,6,1
Bán,Quận Bình Thạnh,Căn hộ,42153846.15384615,72.5,42,1
Bán,Quận Bình Thạnh,Căn hộ chung cư,152778864.9706458,83,6,1
Bán,Quận Bình Thạnh,Căn hộ/Chung cư,67960526.31578948,65.5,160,4
Bán,Quận Bình Thạnh,Đất,129843750,100,142,4
Bán,Quận Bình Thạnh,Đất nền,147239263.803681,120,29,1
Bán,Quận Bình Thạnh,Nhà ở,162619430.6833461,56,276,4
Bán,Quận Bình Thạnh,Nhà phố,155642023.3463035,68,253,4
Bán,Quận Gò Vấp,Bất động sản khác,112083333.33333334,65.5,88,1
Bán,Quận Gò Vấp,Biệt thự,105000000,210,5,1
Bán,Quận Gò Vấp,Căn hộ,40198039.21568628,55,30,1
Bán,Quận Gò Vấp,Căn hộ chung cư,122042410.71428572,129.5,8,1
Bán,Quận Gò Vấp,Căn hộ/Chung cư,45499325.23616734,65,120,1
Bán,Quận Gò Vấp,Đất,99312734.082397,82,136,4
Bán,Quận Gò Vấp,Đất nền,102272727.27272728,127,7,1
Bán,Quận Gò Vấp,Nhà ở,120796703.29670331,57,290,4
Bán,Quận Gò Vấp,Nhà phố,125277777.77777779,54,164,4
Bán,Quận Phú Nhuận,Bất động sản khác,132719435.7366771,55,106,1
Bán,Quận Phú Nhuận,Biệt thự,206896551.72413793,174,5,1
Bán,Quận Phú Nhuận,Căn hộ,46160130.71895425,68,16,1
Bán,Quận Phú Nhuận,Căn hộ/Chung cư,77500000,64,85,1
Bán,Quận Phú Nhuận,Đất,219791078.48673066,133.5,24,1
Bán,Quận Phú Nhuận,Đất nền,256069958.84773666,337,6,3
Bán,Quận Phú Nhuận,Nhà ở,204545454.54545453,46.5,175,4
Bán,Quận Phú Nhuận,Nhà phố,186538461.5384615,71,119,4
Bán,Quận Tân Bình,Bất động sản khác,190476190.47619048,85,95,1
Bán,Quận Tân Bình,Biệt thự,197674418.60465115,152,17,1
Bán,Quận Tân Bình,Căn hộ,49434865.900383145,72,84,1
Bán,Quận Tân Bình,Căn hộ chung cư,205026455.02645504,168,12,1
Bán,Quận Tân Bình,Căn hộ/Chung cư,54166666.666666664,66.475,128,4
Bán,Quận Tân Bình,Đất,148437500,105,73,1
Bán,Quận Tân Bình,Đất nền,166796171.1711712,238,10,1
Bán,Quận Tân Bình,Mặt bằng,207207207.2072072,100,11,1
Bán,Quận Tân Bình,Nhà ở,170731707.31707317,71,289,4
Bán,Quận Tân Bình,Nhà phố,204432700.60396892,106.5,180,4
Bán,Quận Tân Bình,Phòng/Cho thuê,303927218.3142046,162.5,8,2
Bán,Quận Tân Phú,Bất động sản khác,117777777.77777778,85,23,1
Bán,Quận Tân Phú,Căn hộ,51456310.67961165,78,121,1
Bán,Quận Tân Phú,Căn hộ/Chung cư,58433734.93975904,70,155,4
Bán,Quận Tân Phú,Đất,100000000,100,62,1
Bán,Quận Tân Phú,Nhà ở,115686274.50980392,62,247,4
Bán,Quận Tân Phú,Nhà phố,121763345.86466163,76,82,1
Bán,Thành phố Thủ Đức,Bất động sản khác,71240601.5037594,87.5,86,1
Bán,Thành phố Thủ Đức,Biệt thự,173684210.52631578,350,27,3
Bán,Thành phố Thủ Đức,Căn hộ,30882352.94117647,76,97,1
Bán,Thành phố Thủ Đức,Căn hộ/Chung cư,57596643.69193886,68,338,4
Bán,Thành phố Thủ Đức,Đất,68500000,87.84985,374,4
Bán,Thành phố Thủ Đức,Đất nền,81781609.1954023,115,300,4
Bán,Thành phố Thủ Đức,Nhà ở,91547619.04761906,70,278,4
Bán,Thành phố Thủ Đức,Nhà phố,115384615.3846154,92,325,4
Cho thuê,Huyện Bình Chánh,Bất động sản khác,68571.42857142858,1750,8,2
Cho thuê,Huyện Bình Chánh,Biệt thự,200000,250,3,3
Cho thuê,Huyện Bình Chánh,Căn hộ,140000,50,5,3
Cho thuê,Huyện Bình Chánh,Nhà phố,149995,100,12,3
Cho thuê,Huyện Bình Chánh,Phòng/Cho thuê,116666.66666666669,30,11,3
Cho thuê,Huyện Bình Chánh,"Văn phòng, Mặt bằng kinh doanh",735714.2857142857,195,2,3
Cho thuê,Huyện Bình Chánh,Văn phòng/Mặt bằng,53354166.66666667,63.75,2,4
Cho thuê,Huyện Củ Chi,Bất động sản khác,110000,4118,3,2
Cho thuê,Huyện Củ Chi,Đất nền,8998347.107438017,123,2,3
Cho thuê,Huyện Củ Chi,Nhà phố,3211635.338345865,2125.5,2,2
Cho thuê,Huyện Hóc Môn,Bất động sản khác,42856.42857142857,1400,3,2
Cho thuê,Huyện Hóc Môn,Nhà phố,61912.75167785235,120,4,3
Cho thuê,Huyện Hóc Môn,Phòng/Cho thuê,104545.45454545454,200,15,3
Cho thuê,Huyện Hóc Môn,"Văn phòng, Mặt bằng kinh doanh",1287500,180,4,3
Cho thuê,Huyện Nhà Bè,Biệt thự,247619.04761904763,140,17,3
Cho thuê,Huyện Nhà Bè,Căn hộ,157415.07870753936,78,4,3
Cho thuê,Huyện Nhà Bè,Nhà phố,194444.44444444444,42,5,3
Cho thuê,Huyện Nhà Bè,Phòng/Cho thuê,261904.7619047619,126,3,3
Cho thuê,Huyện Nhà Bè,Văn phòng/Mặt bằng,105000,60,4,3
Cho thuê,Quận 1,Bất động sản khác,243750,50,26,3
Cho thuê,Quận 1,Biệt thự,450000,240,35,3
Cho thuê,Quận 1,Căn hộ,252777.77777777778,45,140,3
Cho thuê,Quận 1,Căn hộ/Chung cư,382791.3279132791,42,4,3
Cho thuê,Quận 1,Đất nền,1113636.3636363635,240,3,3
