segment,best_model,mape,rmse_vnd,mae_vnd,r2,split_type,train_rows,test_rows,trained_at
rent,XGBoost,0.5930652086070948,137144563.25603426,113467384.89274211,-0.1798491787794032,time_based,67,15,2026-05-16 23:41:53.298353
sale,RF + XGBoost Ensemble,0.30442134219454164,5693551609.01,2091296251.2760177,0.506625379000475,time_based,2469,618,2026-05-16 23:41:53.298353
