feature,%IncMSE,IncNodePurity
area,42.55249095096563,9398.950845830057
log_area,41.71623690640266,8879.671191595726
district_category_price_encoded,41.26121167111137,1814.9738735770698
district_name,83.38031644851078,1492.2611013937853
inferred_rooms,37.21016295590536,707.6176102992641
district_price_encoded,31.69663935126494,619.9139918142123
rooms,38.09146990790148,585.9857827544636
category_name,38.3386467658126,579.806210112998
title_has_frontage,63.12195303043753,566.3238976616277
title_token_count,59.87933106131797,539.7270770209683
source_category_price_encoded,24.309855849357426,352.48697529305497
category_price_encoded,22.89655011292338,292.96421515167754
inferred_floors,18.6939450604275,282.8711683881701
frontage_width_m,9.9623308333905,247.90493813836605
title_has_corner,54.12093106473853,236.57449039722889
ward_price_encoded,27.16451355723539,134.19194883456944
frontage_ratio,17.73047262364588,124.28397785896455
distance_to_center,24.592716041982502,124.19532936806131
source,24.094518066719594,119.90438211899023
frontage_length_m,15.493612989971512,111.3895187818707
posted_wday,23.741545973937736,104.14025001426361
source_price_encoded,21.110851396680033,99.71188016713239
listing_age_days,21.83033147312789,92.91678083005286
title_has_furnished,17.551826056324707,63.20737744187941
title_has_income_info,24.44879715195635,59.744024009014566
title_has_alley,32.53534027949175,42.05099401204648
title_has_elevator,16.64985727878081,25.091755472927336
title_has_car_access,17.890808482574503,14.498947176743862
posted_hour,7.910192616791955,13.350915660115364
title_has_legal,0,0
